Datum,Verbrauch,Wind,Solar,Wind+Solar
2018-01-01,1125.4250000000002,680.0980000000001,29.487,709.585
2018-01-02,1399.625,472.7939999999999,16.325,489.1189999999999
2018-01-03,1542.8259999999998,937.881,13.104,950.985
2018-01-04,1503.326,591.3149999999999,9.263,600.578
2018-01-05,1468.608,526.592,18.381,544.973
2018-01-06,1254.027,203.89800000000002,29.155999999999995,233.05400000000003
2018-01-07,1219.327,389.48,17.002000000000002,406.482
2018-01-08,1556.654,557.077,30.372000000000003,587.449
2018-01-09,1573.4940000000001,519.079,29.453,548.5319999999999
2018-01-10,1515.4670000000003,148.12599999999998,37.830000000000005,185.956
2018-01-11,1519.9289999999999,35.787,21.017,56.804
2018-01-12,1508.6119999999996,132.627,11.012,143.639
2018-01-13,1335.815,336.3,11.429999999999998,347.73
2018-01-14,1250.982,396.861,33.246,430.10699999999997
2018-01-15,1609.4920000000004,742.826,30.274,773.1
2018-01-16,1631.1499999999996,673.261,18.546,691.807
2018-01-17,1643.742,661.1560000000001,18.865000000000002,680.0210000000001
2018-01-18,1638.547,684.2369999999999,15.811,700.0479999999999
2018-01-19,1547.8740000000003,297.65799999999996,26.537000000000003,324.19499999999994
2018-01-20,1346.368,205.31900000000002,15.012000000000002,220.33100000000002
2018-01-21,1237.7079999999996,109.08699999999997,18.296,127.38299999999998
2018-01-22,1554.38,313.945,9.661000000000001,323.606
2018-01-23,1583.3069999999996,394.518,18.981000000000005,413.49899999999997
2018-01-24,1615.8529999999998,761.975,41.023,802.998
2018-01-25,1564.4599999999998,394.295,30.154999999999998,424.45
2018-01-26,1504.1840000000007,50.69399999999999,27.651,78.34499999999998
2018-01-27,1315.6249999999998,314.424,25.560000000000002,339.984
2018-01-28,1266.4489999999998,841.002,22.198999999999998,863.2009999999999
2018-01-29,1580.7250000000001,899.6329999999999,23.737999999999996,923.3709999999999
2018-01-30,1563.433,467.7210000000001,49.86000000000001,517.5810000000001
2018-01-31,1608.973,705.5819999999999,30.908,736.4899999999999
2018-02-01,1590.9260000000002,522.1519999999999,32.595,554.747
2018-02-02,1546.457,351.06300000000005,38.074,389.13700000000006
2018-02-03,1307.4860000000003,112.22500000000002,25.097000000000005,137.32200000000003
2018-02-04,1237.9880000000003,252.42000000000002,26.19,278.61
2018-02-05,1529.6910000000003,202.82300000000006,53.30199999999999,256.12500000000006
2018-02-06,1543.1709999999998,93.383,66.492,159.875
2018-02-07,1559.6020000000003,56.458000000000006,55.938,112.39600000000002
2018-02-08,1558.097,91.858,51.721,143.579
2018-02-09,1564.4869999999996,209.044,42.355000000000004,251.399
2018-02-10,1342.2730000000001,171.10799999999998,24.431,195.539
2018-02-11,1275.3739999999998,625.42,28.515000000000004,653.935
2018-02-12,1523.4989999999998,463.91099999999994,47.381,511.2919999999999
2018-02-13,1534.6760000000002,259.0590000000001,97.753,356.81200000000007
2018-02-14,1564.795,325.60299999999995,113.513,439.116
2018-02-15,1613.9180000000003,506.322,30.74,537.062
2018-02-16,1525.4379999999999,328.201,71.702,399.903
2018-02-17,1317.5739999999998,72.442,34.463,106.905
2018-02-18,1217.234,125.79499999999999,59.637,185.432
2018-02-19,1493.0459999999998,59.73599999999999,58.92000000000001,118.656
2018-02-20,1512.9240000000002,109.40499999999999,65.834,175.23899999999998
2018-02-21,1509.452,152.18999999999997,92.025,244.21499999999997
2018-02-22,1524.142,261.19500000000005,88.67999999999998,349.875
2018-02-23,1531.1870000000001,360.332,105.81800000000001,466.15
2018-02-24,1351.9650000000001,585.2180000000001,109.932,695.1500000000001
2018-02-25,1256.6570000000002,350.78299999999996,122.086,472.86899999999997
2018-02-26,1587.688,398.25399999999996,81.63100000000001,479.885
2018-02-27,1625.474,337.6169999999999,97.96600000000001,435.5829999999999
2018-02-28,1656.606,571.612,108.24899999999998,679.861
2018-03-01,1650.132,727.9789999999999,110.482,838.4609999999999
2018-03-02,1631.099,528.621,102.185,630.806
2018-03-03,1395.9,426.2629999999999,77.06799999999998,503.3309999999999
2018-03-04,1258.615,407.407,100.456,507.863
2018-03-05,1503.7129999999997,293.804,104.491,398.29499999999996
2018-03-06,1524.7179999999998,137.894,76.48100000000001,214.375
2018-03-07,1542.7059999999997,160.868,56.92399999999999,217.79199999999997
2018-03-08,1564.306,482.957,93.28200000000001,576.239
2018-03-09,1539.1,357.414,71.753,429.167
2018-03-10,1294.1410000000003,295.6209999999999,56.029,351.6499999999999
2018-03-11,1177.341,243.88699999999997,84.358,328.245
2018-03-12,1476.538,205.67800000000003,49.398999999999994,255.07700000000003
2018-03-13,1537.4360000000001,426.65500000000014,52.337999999999994,478.99300000000017
2018-03-14,1507.918,155.29700000000003,71.45400000000001,226.75100000000003
2018-03-15,1574.421,646.6950000000002,108.584,755.2790000000002
2018-03-16,1554.7319999999997,589.0799999999999,48.72599999999999,637.8059999999999
2018-03-17,1428.881,798.8789999999998,52.766999999999996,851.6459999999997
2018-03-18,1352.363,745.8310000000001,82.33500000000001,828.1660000000002
2018-03-19,1554.8869999999997,242.75199999999998,119.13700000000001,361.889
2018-03-20,1604.6300000000003,338.62300000000005,99.991,438.61400000000003
2018-03-21,1570.946,207.31499999999997,135.523,342.83799999999997
2018-03-22,1588.335,398.657,56.307,454.964
2018-03-23,1516.0540000000003,99.299,44.665,143.964
2018-03-24,1274.741,70.63,144.54800000000003,215.17800000000003
2018-03-25,1158.4129999999998,39.02,158.679,197.699
2018-03-26,1471.683,62.853,72.808,135.661
2018-03-27,1481.926,134.085,112.027,246.11200000000002
