type,imageFile,corrAns,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,thisRow.t,notes,Intro.started,Intro_Text.started,IntroResp.started,Intro.stopped,IntroResp.keys,IntroResp.rt,IntroResp.duration,Delay.started,Nothing.started,Delay.stopped,Trial.started,TrialImage.started,TrialResp.started,Trial.stopped,TrialResp.keys,TrialResp.corr,TrialResp.rt,TrialResp.duration,Outro.started,OutroText.started,Outro.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03050149999990026,0.04294549999985975,0.04294549999985975,2.891268499999569,space,2.8326560999998946,None,,,,,,,,,,,,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
,,,,,,,,,,,,,,,,2.8914366999997583,2.9061682999999903,5.8923588999996355,,,,,,,,,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/11.png,space,0,0,0,0,6.09936099999959,,,,,,,,,,,,5.934602899999845,6.09936099999959,6.09936099999959,7.4172812999995585,space,1,0.8660749000000578,0.15018069999996442,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/15.png,space,0,1,1,4,7.45115399999986,,,,,,,,,,,,7.418931100000009,7.45115399999986,7.45115399999986,8.914333099999567,space,1,0.5543215999996391,0.15990320000037173,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
nogo,stimuli/21.png,None,0,2,2,9,8.962746899999729,,,,,,,,,,,,8.91548769999963,8.962746899999729,8.962746899999729,10.432941199999732,None,1,,,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/18.png,space,0,3,3,7,10.475038699999914,,,,,,,,,,,,10.433894799999962,10.475038699999914,10.475038699999914,11.907626999999593,space,1,0.3801862999998775,0.1697067000000061,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/17.png,space,0,4,4,6,11.953859699999612,,,,,,,,,,,,11.909001699999862,11.953859699999612,11.953859699999612,13.399436100000003,space,1,0.41134869999996226,0.17145090000030905,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/16.png,space,0,5,5,5,13.445018399999753,,,,,,,,,,,,13.400732599999628,13.445018399999753,13.445018399999753,14.914012699999603,space,1,0.6400542000001224,0.19072249999999258,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/13.png,space,0,6,6,2,14.959935199999563,,,,,,,,,,,,14.915170699999635,14.959935199999563,14.959935199999563,16.41320289999976,space,1,0.6257714999997006,0.16988489999994272,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/14.png,space,0,7,7,3,16.458426999999574,,,,,,,,,,,,16.414406799999597,16.458426999999574,16.458426999999574,17.905094499999905,space,1,1.2684362999998484,None,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
nogo,stimuli/23.png,None,0,8,8,11,17.950625099999797,,,,,,,,,,,,17.90729629999987,17.950625099999797,17.950625099999797,19.430678599999737,space,0,0.8247329999999238,0.13967410000032032,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
nogo,stimuli/22.png,None,0,9,9,10,19.474949699999797,,,,,,,,,,,,19.432493199999954,19.474949699999797,19.474949699999797,20.894449699999768,None,1,,,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/19.png,space,0,10,10,8,20.947212599999602,,,,,,,,,,,,20.8953747999999,20.947212599999602,20.947212599999602,22.416638999999577,space,1,0.3788235000001805,0.1696577000002435,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/12.png,space,0,11,11,1,22.45871339999985,,,,,,,,,,,,22.4177980999998,22.45871339999985,22.45871339999985,23.910961499999758,space,1,0.5563241999998354,0.17092349999984435,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/12.png,space,1,0,12,1,23.956809899999826,,,,,,,,,,,,23.91225029999987,23.956809899999826,23.956809899999826,25.42274559999987,space,1,1.428505199999563,None,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
nogo,stimuli/21.png,None,1,1,13,9,25.470782599999893,,,,,,,,,,,,25.423870499999794,25.470782599999893,25.470782599999893,26.928853899999922,None,1,,,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/13.png,space,1,2,14,2,26.975614799999676,,,,,,,,,,,,26.929721900000004,26.975614799999676,26.975614799999676,28.408012299999882,space,1,0.4595970000000307,0.11970670000027894,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
go,stimuli/18.png,space,1,3,15,7,28.449346799999603,,,,,,,,,,,,28.409315199999583,28.449346799999603,28.449346799999603,29.897581499999887,space,1,0.63572750000003,0.19048000000020693,,,,02,2025-06-13_09h12.29.871,Go_NoGo_Task,2024.1.4,None,2025-06-13 09h12.41.370808 +0200,
